# chrony 4.5 C function inventory (doxygen 1.9.8, commit 120dfb8b36b942c31ddfc0220ca1475159ac5031)
# file	n_functions	functions(comma-sep)
socket.c	61	SCK_AcceptConnection,SCK_CloseReusableSockets,SCK_CloseSocket,SCK_EnableKernelRxTimestamping,SCK_Finalise,SCK_GetAnyLocalIPAddress,SCK_GetIntOption,SCK_GetLoopbackIPAddress,SCK_IPSockAddrToSockaddr,SCK_InitMessage,SCK_Initialise,SCK_IsIpFamilyEnabled,SCK_IsLinkLocalIPAddress,SCK_IsReusable,SCK_ListenOnSocket,SCK_OpenTcpSocket,SCK_OpenUdpSocket,SCK_OpenUnixDatagramSocket,SCK_OpenUnixSocketPair,SCK_OpenUnixStreamSocket,SCK_PreInitialise,SCK_Receive,SCK_ReceiveMessage,SCK_ReceiveMessages,SCK_RemoveSocket,SCK_Send,SCK_SendMessage,SCK_SetIntOption,SCK_SetPrivBind,SCK_ShutdownConnection,SCK_SockaddrToIPSockAddr,add_control_message,bind_device,bind_ip_address,bind_unix_address,connect_ip_address,connect_unix_address,domain_to_string,get_ip_socket,get_open_flags,get_recv_flags,get_reusable_socket,handle_recv_error,init_message_addresses,init_message_nonaddress,is_any_address,log_message,match_cmsg,open_ip_socket,open_socket,open_socket_pair,open_unix_socket,open_unix_socket_pair,prepare_buffers,process_header,receive_messages,send_message,set_ip_options,set_socket_flags,set_socket_nonblock,set_socket_options
sources.c	48	SRC_AccumulateSample,SRC_ActiveSources,SRC_CreateNewInstance,SRC_DestroyInstance,SRC_DumpSources,SRC_Finalise,SRC_GetSelectReport,SRC_GetSourcestats,SRC_GetType,SRC_Initialise,SRC_IsReachable,SRC_IsSyncPeer,SRC_ModifySelectOptions,SRC_ReadNumberOfSources,SRC_ReloadSources,SRC_RemoveDumpFiles,SRC_ReportSource,SRC_ReportSourcestats,SRC_ReselectSource,SRC_ResetInstance,SRC_ResetReachability,SRC_ResetSources,SRC_SelectSource,SRC_SetActive,SRC_SetRefid,SRC_SetReselectDistance,SRC_UnsetActive,SRC_UpdateReachability,SRC_UpdateStatus,add_dispersion,combine_sources,compare_sort_elements,find_source,get_dumpfile,get_leap_status,get_status_char,handle_bad_source,load_source,log_selection_message,log_selection_source,mark_ok_sources,mark_source,save_source,slew_sources,source_to_string,special_mode_end,unselect_selected_source,update_sel_options
sourcestats.c	32	SST_AccumulateSample,SST_AddDispersion,SST_CorrectOffset,SST_CreateInstance,SST_DeleteInstance,SST_DoNewRegression,SST_DoSourceReport,SST_DoSourcestatsReport,SST_Finalise,SST_GetDelayTestData,SST_GetFrequencyRange,SST_GetJitterAsymmetry,SST_GetMinSamples,SST_GetSelectionData,SST_GetTrackingData,SST_Initialise,SST_LoadFromFile,SST_MinRoundTripDelay,SST_PredictOffset,SST_ResetInstance,SST_Samples,SST_SaveToFile,SST_SetRefid,SST_SlewSamples,convert_to_intervals,correct_asymmetry,estimate_asymmetry,find_best_sample_index,find_min_delay_sample,get_buf_index,get_runsbuf_index,prune_register
stubs.c	78	CAM_AddAccessRestriction,CAM_Finalise,CAM_Initialise,CAM_OpenUnixSocket,CLG_Finalise,CLG_Initialise,CMC_CreateInstance,CMC_DestroyInstance,CMC_GetKeyLength,CMC_Hash,DNS_Name2IPAddress,DNS_SetAddressFamily,KEY_Finalise,KEY_Initialise,MNL_Finalise,MNL_Initialise,NCR_AddAccessRestriction,NCR_AddBroadcastDestination,NCR_CheckAccessRestriction,NCR_Finalise,NCR_Initialise,NIO_Finalise,NIO_Initialise,NKS_DumpKeys,NKS_Finalise,NKS_Initialise,NKS_PreInitialise,NKS_ReloadKeys,NNC_ChangeAddress,NNC_CheckResponseAuth,NNC_CreateInstance,NNC_DestroyInstance,NNC_DumpData,NNC_GenerateRequestAuth,NNC_GetReport,NNC_PrepareForAuth,NNS_CheckRequestAuth,NNS_Finalise,NNS_GenerateResponseAuth,NNS_Initialise,NSD_Finalise,NSD_Initialise,NSD_SignAndSendPacket,NSR_AddSource,NSR_AddSourceByName,NSR_AutoStartSources,NSR_DumpAuthData,NSR_Finalise,NSR_GetActivityReport,NSR_GetAuthReport,NSR_GetLocalRefid,NSR_GetNTPReport,NSR_GetName,NSR_HandleBadSource,NSR_Initialise,NSR_InitiateSampleBurst,NSR_ModifyMaxdelay,NSR_ModifyMaxdelaydevratio,NSR_ModifyMaxdelayratio,NSR_ModifyMaxpoll,NSR_ModifyMinpoll,NSR_ModifyMinstratum,NSR_ModifyPolltarget,NSR_RefreshAddresses,NSR_RemoveAllSources,NSR_RemoveSource,NSR_RemoveSourcesById,NSR_ReportSource,NSR_ResolveSources,NSR_SetConnectivity,NSR_SetSourceResolvingEndHandler,NSR_StartSources,NSR_StatusToString,RCL_AddRefclock,RCL_Finalise,RCL_Initialise,RCL_ReportSource,RCL_StartRefclocks
sys.c	6	SYS_DropRoot,SYS_EnableSystemCallFilter,SYS_Finalise,SYS_Initialise,SYS_LockMemory,SYS_SetScheduler
sys_generic.c	14	SYS_Generic_CompleteFreqDriver,SYS_Generic_Finalise,accrue_offset,apply_step_offset,clamp_freq,handle_end_of_slew,handle_step,offset_convert,read_frequency,set_frequency,set_sync_status,start_fastslew,stop_fastslew,update_slew
sys_linux.c	14	SYS_Linux_CheckKernelVersion,SYS_Linux_Finalise,SYS_Linux_Initialise,apply_step_offset,get_hz,get_kernel_version,get_version_specific_details,guess_hz,kernelvercmp,read_frequency,report_time_adjust_blockers,reset_adjtime_offset,set_frequency,test_step_offset
sys_macosx.c	0	
sys_netbsd.c	4	SYS_NetBSD_Finalise,SYS_NetBSD_Initialise,accrue_offset,get_offset_correction
sys_null.c	8	SYS_Null_Finalise,SYS_Null_Initialise,accrue_offset,apply_step_offset,offset_convert,read_frequency,set_frequency,update_offset
sys_posix.c	0	
sys_solaris.c	3	SYS_Solaris_Finalise,SYS_Solaris_Initialise,set_dosynctodr
